Sentence 1,Sentence 2,Context,Similarity
"A small tiger that is angry and jumps, and is green, located in the park at dawn. It has wings and has five arms, its back and chest, so it has no way to stand upright. At the last moment it jumps out of","A small tiger that is angry and jumps, and is green, located in the park at dawn. When he finally walks into the lake, he is immediately engulfed by fire. All of the creatures have the same face as the old one. As I",animal,1
"A small tiger that is angry and jumps, and is green, located in the park at dawn. The tiger is often found with an ivory head.

""Families like these sometimes take an interest in the tigers and they keep watching them","A small tiger that is angry and jumps, and is green, located in the park at dawn. He appears to be quite fast, but his movements are so slow, he can reach the ground. He comes to be seen under the canopy of trees",color,1
"A small tiger that is angry and jumps, and is green, located in the park at dawn.


The tiger is found near the water by the pond's edge.

Luna, a 30-year-old man who found the","A small tiger that is angry and jumps, and is green, located in the park at dawn.

The tiger must be moved around to find it - and I suspect I should have used a walker instead of waiting until it is dead.",action,1
"A small tiger that is angry and jumps, and is green, located in the park at dawn. It is one of its best friends. When a Tiger in the forest says, ""I'm going to kill him right then and there, you can","A small tiger that is angry and jumps, and is green, located in the park at dawn.

Bertie T. and Carol T.

Both Bertie (T) and Carol (T) were recently named as living examples",size,1
"A small tiger that is angry and jumps, and is green, located in the park at dawn. Then it becomes confused. It looks like the tiger it lives in, is a tiger for fun.

Here is a list of animal names that","A small tiger that is angry and jumps, and is green, located in the park at dawn.

Derek's pet tiger, Fionnae-like, is an alligator in the Disney Animal Home Park. However, Fion",emotion,1
"A small tiger that is angry and jumps, and is green, located in the park at dawn. In a corner, a large gray tarantula (pictured here with two young) is located.","A small tiger that is angry and jumps, and is green, located in the park at dawn.

After the tiger is found, it is left in the park as long as there are plenty of others in sight, and its body must remain",location,1
"A small tiger that is angry and jumps, and is green, located in the park at dawn.

""One of the two foxes can only see us.""

This isn't the first time a fox has been poisoned by this type","A small tiger that is angry and jumps, and is green, located in the park at dawn.

""I didn't say a word about that one,"" one witness told the Guardian, as they worked to cover her.

Mads",time,1
"A large cheetah that is happy and plays, and is blue, located in the forest at dawn. It lives in this same pine wood as the other mammals, except, of course, for the cheetah. Like all reptiles, che","A large cheetah that is happy and plays, and is blue, located in the forest at dawn. It will attack whoever enters the dungeon from behind or from behind if there are no party members present as well. The one who is the """,animal,1
"A large cheetah that is happy and plays, and is blue, located in the forest at dawn. Its body is slightly pink, and its large, white, eyes are visible on its face as a small fang. In terms of size","A large cheetah that is happy and plays, and is blue, located in the forest at dawn. It is the only common cheetah that spends its entire lives in this forest. It is not a cheetah that gets sick,",color,1
"A large cheetah that is happy and plays, and is blue, located in the forest at dawn.


Lavenders

You can find a large number of Lavender (or Blue Lavender if you are a blue-eyed","A large cheetah that is happy and plays, and is blue, located in the forest at dawn. The game begins in 2-3 seconds and can either be played on a PC or on a Tablet. It costs a level of 400 gems",action,1
"A large cheetah that is happy and plays, and is blue, located in the forest at dawn. He has blue eyesight and has the ability to see the moon. He likes to dance. He's a little bit of wild-eyed","A large cheetah that is happy and plays, and is blue, located in the forest at dawn.

Lizards, like lions or zebras and turtles, like turtles and amphibians, are thought to be the most abundant food",size,1
"A large cheetah that is happy and plays, and is blue, located in the forest at dawn. There are no dogs or cats to accompany the cheetah as it is about to emerge in its nest. But as the evening progresses,","A large cheetah that is happy and plays, and is blue, located in the forest at dawn. On its belly there are 2 large yellow cheetah that are both male and female. The female cheetah has white skin, whereas",emotion,1
"A large cheetah that is happy and plays, and is blue, located in the forest at dawn. It's often mistaken for a snake because of its short stature.

What this is missing is an insect bite. It is a common","A large cheetah that is happy and plays, and is blue, located in the forest at dawn.

Catch [ edit ]

A large dragon in the forest around dawn. These appear at dawn.

Dragonling [",location,1
"A large cheetah that is happy and plays, and is blue, located in the forest at dawn. The cheetah was present in their cave, where they made a new and valuable contribution, one that will be of great benefit for generations","A large cheetah that is happy and plays, and is blue, located in the forest at dawn.

Dolphin Life

Most likely one of the most dangerous fish species in the world, dolphins (Chelonidae) do not",time,1
"A large cheetah that is playful and barks, and is purple, located in the desert at dawn. There is also a small female cheetah-dog.

A small cheetah that is playful and barks, and","A large cheetah that is playful and barks, and is purple, located in the desert at dawn. It's considered a common type of dog. Like a typical canine, the black cheetah has a soft, soft, fluffy coat",animal,1
"A large cheetah that is playful and barks, and is purple, located in the desert at dawn.

Inhabited


Cats and Humans


The cats of these islands are known as the birds of life, and","A large cheetah that is playful and barks, and is purple, located in the desert at dawn. It has three horns at the middle and four horns on the ends. It looks like a jackal with red feathers, but its tail",color,1
"A large cheetah that is playful and barks, and is purple, located in the desert at dawn. Its large mouth is larger than the large bull, so it does not have its horn. Many people worship it as food as it feeds","A large cheetah that is playful and barks, and is purple, located in the desert at dawn. Sometimes its name is pronounced like ""Cockroach"". The cheetah is a common herb found throughout Southwest Asia (where it is",action,1
"A large cheetah that is playful and barks, and is purple, located in the desert at dawn. Although there are many cheetahs, it is quite small, but they all have blue eyes when around 9 in the morning which is","A large cheetah that is playful and barks, and is purple, located in the desert at dawn. There are a few species of cheetah in the area that may be dangerous for you.

This is a nice place to",size,1
"A large cheetah that is playful and barks, and is purple, located in the desert at dawn.

The largest and one of its kind of the Southern Plains, the 'K' cheetah has a wide hump, and","A large cheetah that is playful and barks, and is purple, located in the desert at dawn.

Frogtail

The fox is a large yellow roamer that can live between 100 and 200 hours at a time.",emotion,1
"A large cheetah that is playful and barks, and is purple, located in the desert at dawn. The cheetah lives in the Desert Desert. It is not known if they are the same species as the other reptiles in the pant","A large cheetah that is playful and barks, and is purple, located in the desert at dawn. It's one of four cheetah that was found in the ruins of the Temple Ruins (although it disappeared after the third Death E",location,1
"A large cheetah that is playful and barks, and is purple, located in the desert at dawn.

The Cheetah is one of the few animals to survive without a food source. In contrast to the other big reptiles,","A large cheetah that is playful and barks, and is purple, located in the desert at dawn. It lives in the mountains of the southern Philippines. A large cheetah (Fangliroptera) is found in the Himal",time,1
"A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk.

Invisible Mascot

While these animals are rarely seen, this type of furry mascot was found at South Carolina","A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk. A curious person can be seen taking on a new costume for an amusement park attraction, and it's only on its way to someplace.",animal,1
"A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk. It is said that the tree is the sole source of electricity for many birds. If these sightings are not enough, the kangaroo is","A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk.

The name Kangaroo, which means ""little black kangaroo"" or ""Kangaroo of the year"", has been popular",color,1
"A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk. It lives up to my name, and lives as an animal companion to me. I am very happy with this pet because it is so happy","A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk.

This exotic species of kangaroo can only be found among the shrubs under the branches of plants.

I have been",action,1
"A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk.

""I'd like to know what time I went to the barbershop with this animal,"" Smith said. ""I think I","A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk. The turtle would probably have been better off out right at dusk unless it was able to escape the jungle and go on holiday alone.

",size,1
"A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk.

""I wonder if the monkeys got their own home, too, but I'm guessing they did. I'm sure they would have","A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk. It has been around for millions of years, and it is a really valuable species to visit today.""

It's a little like hunting",emotion,1
"A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk.

Kong-O-Koo: ""No, wait, it's not there.""

The kangaroo is moving","A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk. He loves to eat trees, and you will see him grow his belly when he grows up to be a majestic big dog. It is extremely",location,1
"A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk. When you step on it, the kangaroo will turn into a star, and you get a special thank you message when the kang","A tiny kangaroo that is excited and jumps, and is gold, located under the tree at dusk. It is a good creature, and a very good example of the human spirit being found in such a small community!

The animals that",time,1
"A huge monkey that is calm and meows, and is black, located under the tree in the morning. It takes her about 30 minutes to get accustomed to its diet. It is a whiteish brown on the skin and pink in the mouth with","A huge monkey that is calm and meows, and is black, located under the tree in the morning. The little house in the afternoon.

Bishop: Where would you feel going to heaven when you were about to start reading?
",animal,1
