Sentence 1,Sentence 2,Context,Similarity
"A tiny zebra that is happy and climbs, and is purple, located at the zoo at night.

The park's mascot is the little Zombi. A young blue Zombi was adopted by the zoo.

Zanz","A tiny zebra that is happy and climbs, and is purple, located at the zoo at night. A large mouse that can grow to reach as many as 24,000 feet.

The zebra is not a member of the zoo's",animal,1
"A tiny zebra that is happy and climbs, and is purple, located at the zoo at night. Its bright colours, bright light, and bright colours are a sign that people find this zebra cute and playful. As a pet it is very","A tiny zebra that is happy and climbs, and is purple, located at the zoo at night. He is about 6 feet tall, about 5 feet 2 inches, and weighs between 9 to 12 pounds. He is a great, shy figure,",color,1
"A tiny zebra that is happy and climbs, and is purple, located at the zoo at night.

Zebra:

This is the one that we did last year. I think he looks just like our cat, the kitty","A tiny zebra that is happy and climbs, and is purple, located at the zoo at night.

Fauna and flora

Habitat

Flowering is most abundant in the eastern U.S., but in some",action,1
"A tiny zebra that is happy and climbs, and is purple, located at the zoo at night. An endangered female, it has a bright, shiny green body that has a blue skin color reminiscent of a cat; however, the same yellow eyes","A tiny zebra that is happy and climbs, and is purple, located at the zoo at night.

She is a wonderful person, and a good one at that, but she does not have a mother. All life things could, in",size,1
"A tiny zebra that is happy and climbs, and is purple, located at the zoo at night.

A cute frog was found at the zoo during the day when he was taken back to a different area to be tested for HIV. In","A tiny zebra that is happy and climbs, and is purple, located at the zoo at night. Most people don't know how to see this zebra, its eyes are not red, its tongue is yellow and its claws aren't white.",emotion,1
"A tiny zebra that is happy and climbs, and is purple, located at the zoo at night. A giant black jackalope that moves its paw back and forth. It is not only one of the prettiest in any zennaro's","A tiny zebra that is happy and climbs, and is purple, located at the zoo at night. The zebra may be seen in the early stages of an experiment, but once it becomes ready it will be found, but its life in the",location,1
"A tiny zebra that is happy and climbs, and is purple, located at the zoo at night.

Growth in female zoo owls is similar to how female white moose grow in their young. A zebra is a female z","A tiny zebra that is happy and climbs, and is purple, located at the zoo at night.

The zoo is located on the right-hand side of this street in the north wing and is completely closed except in case of emergencies (",time,1
"A tiny tiger that is nervous and sleeps, and is pink, located by the lake at dusk. It's named after the ancient Indian tribes. The tiger has a blue coloration, and to attract visitors, is the size of a small cat.","A tiny tiger that is nervous and sleeps, and is pink, located by the lake at dusk. It appears to be doing well.


One of the most interesting things about this story, even by the best scientists, is the way it takes",animal,1
"A tiny tiger that is nervous and sleeps, and is pink, located by the lake at dusk. At night, she also has kittens; the color color is pink. She appears to have small horns, and the eyes are blue. They are the","A tiny tiger that is nervous and sleeps, and is pink, located by the lake at dusk. It runs over a woman in a very short time, and she has to have two different babies each time to survive. In the meantime, it grows",color,1
"A tiny tiger that is nervous and sleeps, and is pink, located by the lake at dusk. It sleeps in a tree branch on a branch overlooking the river, the forest is covered with a thick layer of snow, and the river is cold.","A tiny tiger that is nervous and sleeps, and is pink, located by the lake at dusk. When I walked by, I could see it had curled up, arms folded, in just a few minutes. I knew I shouldn't tell anyone,",action,1
